ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10291,999,9,99,0,9,9,1
10292,53,1,3,0,0,0,1
10293,56,1,5,4,0,0,1
10293,54,2,5,3,8,8,2
10294,26,1,7,4,0,0,1
10295,22,2,7,4,0,1,1
10296,51,2,7,4,9,9,1
10297,19,2,7,4,0,9,1
10297,64,2,3,4,0,0,1
10298,36,1,3,0,0,0,1
10299,36,1,7,3,1,9,1
10299,81,2,3,4,0,0,1
10300,35,1,99,0,9,9,1
10300,35,1,99,0,8,8,2
10301,18,1,7,4,9,9,1
10301,19,1,7,2,8,8,2
10302,23,1,7,4,1,0,1
10303,26,2,3,4,1,0,1
10303,27,2,3,2,8,8,2
10303,21,1,3,2,8,8,2
10303,32,1,99,0,1,0,1
10304,33,2,3,2,0,0,1
10304,5,1,7,2,8,8,2
10304,35,1,7,4,8,8,2
10304,51,1,7,0,1,0,1
10304,998,2,3,2,8,8,2
10304,40,1,3,0,0,0,1
10304,49,2,3,2,8,8,2
10305,23,1,3,0,9,9,1
10305,40,1,7,0,0,0,3
10306,85,1,7,4,0,0,1
10306,42,1,3,0,0,0,1
10307,46,1,7,4,9,9,1
10308,30,1,3,4,9,9,1
10308,25,1,3,4,8,8,2
10308,20,1,99,3,8,8,2
10308,49,1,3,2,0,0,1
10308,23,1,3,2,0,0,1
10309,29,1,7,4,0,1,1
10309,49,1,3,3,0,0,1
10310,43,1,3,4,9,9,1
10311,31,1,7,4,1,9,1
10312,27,1,99,4,9,9,1
10313,37,1,7,4,9,9,1
10314,32,1,3,4,1,9,1
10314,51,1,3,0,0,0,1
10315,69,1,7,4,0,0,1
10316,16,1,7,4,9,0,1
10316,18,1,7,4,8,8,2
10316,998,1,7,9,8,8,2
10317,38,2,7,4,0,9,1
10317,56,1,3,0,0,0,1
10318,26,1,7,4,9,9,1
10319,33,1,7,4,9,9,1
10319,35,1,7,3,8,8,2
10319,23,2,3,3,0,0,1
10320,49,1,3,0,9,9,1
10320,48,1,5,4,0,0,1
10320,46,1,3,0,0,0,1
10321,86,2,7,4,0,0,1
10321,62,1,3,0,0,0,1
10321,60,1,3,0,8,8,2
10322,19,1,3,4,0,0,1
10322,27,1,7,3,0,0,1
10322,31,1,3,2,8,8,2
10322,26,2,3,2,8,8,2
10323,51,1,3,2,0,0,1
10323,49,2,3,4,8,8,2
10324,34,1,17,4,0,0,1
10324,43,1,99,0,9,9,1
10325,16,1,3,4,0,0,1
10325,15,1,3,3,8,8,2
10326,16,1,7,3,0,0,1
10326,16,1,7,4,8,8,2
10327,25,1,7,4,0,0,1
10327,24,2,3,0,8,8,2
10328,40,1,7,4,9,9,1
10329,22,1,3,4,9,9,1
10329,29,1,3,2,0,0,1
10330,50,1,5,4,0,0,1
10330,33,2,3,0,0,0,1
10331,56,1,7,4,0,0,1
10332,25,1,3,4,8,8,1
10332,37,1,3,0,0,0,1
10333,41,1,7,4,9,9,1
10333,71,1,3,3,0,0,1
10334,28,1,7,4,1,9,1
10335,26,1,3,4,9,9,1
10336,19,1,7,4,0,0,1
10336,17,1,7,1,8,8,2
10337,64,1,3,3,0,0,1
10337,32,2,3,3,8,8,2
10337,0,1,11,3,8,8,2
10337,24,2,99,3,8,8,2
10337,10,2,7,4,8,8,2
10337,1,2,10,3,8,8,2
10337,5,1,99,3,8,8,2
10337,18,2,3,3,0,0,1
10338,53,1,3,4,0,0,1
10339,25,1,5,4,0,0,1
10339,66,1,3,0,0,0,1
10340,40,2,7,4,0,9,1
10341,999,1,99,4,9,9,1
10342,80,2,3,4,0,0,1
10342,41,2,3,0,0,0,1
10342,53,2,3,0,8,8,2
10342,50,2,3,0,8,8,2
10342,15,1,3,0,8,8,2
10342,35,1,3,2,0,0,1
10343,53,1,3,0,0,9,1
10343,998,1,3,0,8,8,2
